id,date,primary_type,arrest
11938923,2020-01-02T02:10:00Z,WEAPONS VIOLATION,TRUE
11938924,2020-01-01T08:30:00Z,BATTERY,FALSE
11938925,2020-01-01T21:48:00Z,CRIMINAL DAMAGE,FALSE
11938930,2020-01-01T20:30:00Z,CRIMINAL DAMAGE,FALSE
11938932,2020-01-02T02:44:00Z,NARCOTICS,TRUE
11938934,2020-01-02T03:14:00Z,CRIMINAL TRESPASS,TRUE
11938937,2020-01-02T03:30:00Z,ROBBERY,FALSE
11938938,2020-01-02T00:19:00Z,ASSAULT,FALSE
11938939,2020-01-02T02:45:00Z,ASSAULT,FALSE
11938940,2020-01-02T02:35:00Z,ROBBERY,FALSE
11938941,2020-01-02T02:46:00Z,BATTERY,FALSE
11938943,2020-01-02T02:30:00Z,NARCOTICS,TRUE
11938944,2020-01-02T02:38:00Z,CRIMINAL TRESPASS,FALSE
11938947,2020-01-01T22:15:00Z,ROBBERY,FALSE
11938949,2020-01-02T02:30:00Z,BATTERY,FALSE
11938950,2020-01-01T09:00:00Z,CRIM SEXUAL ASSAULT,FALSE
11938951,2020-01-02T03:00:00Z,CRIMINAL DAMAGE,FALSE
11938954,2020-01-02T01:00:00Z,BATTERY,FALSE
11938957,2020-01-02T03:23:00Z,BATTERY,FALSE
11938958,2020-01-02T00:10:00Z,ROBBERY,FALSE
11938960,2020-01-02T03:20:00Z,CRIMINAL TRESPASS,FALSE
11938961,2020-01-01T15:25:00Z,OTHER OFFENSE,FALSE
11938962,2020-01-02T03:12:00Z,CRIMINAL TRESPASS,TRUE
11938963,2020-01-02T03:30:00Z,BATTERY,TRUE
11938964,2020-01-02T03:23:00Z,BATTERY,TRUE
11938965,2020-01-02T02:00:00Z,OTHER OFFENSE,FALSE
